lon_west,lat_south,lon_east,lat_north,area_ha,forest_share,mean_treecover_pct,loss_share_2001_2019_pct,loss_years_2001_2019,recent_loss_2017_2019_pct,peak_year_loss_pct,future_loss_2020_2024_pct,label,tile
33.28804,55.85828,33.35204,55.89828,1838.72,0.6806,78.96,5.5828,11,0.3861,1.1413,2.3454,1,60N_030E
37.93484,56.56775,37.99884,56.60775,1805.25,0.3482,79.22,0.3127,0,0.0,0.09,0.0,0,60N_030E
31.84693,57.71697,31.91093,57.75697,1750.44,0.9043,82.75,0.3316,0,0.0071,0.0971,0.0142,0,60N_030E
35.78714,56.51122,35.85114,56.55122,1807.94,0.515,79.46,0.6158,1,0.1492,0.2463,0.0995,0,60N_030E
35.91122,58.09387,35.97522,58.13387,1732.3,0.9298,83.3,13.2291,13,0.5659,2.2954,1.2391,1,60N_030E
35.64954,59.02512,35.71354,59.06512,1687.14,0.5442,68.68,6.9827,14,1.8857,1.3693,0.4144,0,60N_030E
31.51196,55.05146,31.57596,55.09146,1876.42,0.7972,81.43,0.9426,1,0.9,0.8313,0.0261,0,60N_030E
37.05236,58.97224,37.11636,59.01224,1689.72,0.3134,77.23,0.135,0,0.0024,0.0521,0.2868,0,60N_030E
30.26948,50.27459,30.33348,50.31459,2091.4,0.5093,74.85,7.1482,16,1.2625,0.758,0.2629,0,60N_030E
33.84794,56.48384,33.91194,56.52384,1809.23,0.7898,82.95,4.0313,8,1.9751,1.0468,3.0993,1,60N_030E
34.00402,52.87531,34.06802,52.91531,1976.13,0.953,85.42,8.5135,15,1.1133,1.6702,2.5512,1,60N_030E
32.13219,57.01354,32.19619,57.05354,1784.08,0.9388,84.44,5.8216,7,2.0695,1.6575,5.6948,1,60N_030E
33.31953,54.7511,33.38353,54.7911,1890.35,0.5282,80.6,9.2582,17,1.7745,1.2627,3.7635,1,60N_030E
39.37456,56.89025,39.43856,56.93025,1789.94,0.3941,71.92,3.2384,6,0.0237,1.7579,0.0095,0,60N_030E
32.69238,57.16765,32.75638,57.20765,1776.74,0.904,84.36,6.2903,11,0.244,1.5466,1.782,1,60N_030E
31.20339,54.96284,31.26739,55.00284,1880.53,0.7006,77.99,3.3405,4,0.0,1.1916,0.0592,0,60N_030E
34.50045,55.06069,34.56445,55.10069,1875.99,0.6377,82.24,4.3439,7,1.8262,1.2625,1.8522,1,60N_030E
30.27593,57.8877,30.33993,57.9277,1742.23,0.756,79.5,8.5605,10,0.0,3.9461,0.1398,0,60N_030E
35.10643,52.23809,35.17043,52.27809,2004.78,0.3515,73.79,0.3339,1,0.1326,0.135,0.5542,0,60N_030E
30.50802,51.28715,30.57202,51.32715,2047.04,0.5777,73.86,9.6257,15,4.1402,1.8972,5.8968,1,60N_030E
30.5841,53.58764,30.6481,53.62764,1943.82,0.5263,72.02,1.682,4,1.1656,0.8387,5.0959,1,60N_030E
33.31294,52.20588,33.37694,52.24588,2006.22,0.4353,65.26,6.2126,15,1.5234,0.8601,2.9477,1,60N_030E
31.86857,58.27888,31.93257,58.31888,1723.36,0.9995,85.12,0.1919,0,0.0687,0.0569,1.956,1,60N_030E
35.68986,56.00057,35.75386,56.04057,1832.03,0.3797,82.41,3.3101,7,0.0213,1.2179,0.0592,0,60N_030E
30.29135,59.02604,30.35535,59.06604,1687.09,0.4576,78.28,4.4213,5,0.0213,2.7849,0.0024,0,60N_030E
30.50874,57.50355,30.57274,57.54355,1760.67,0.731,77.77,3.0375,6,0.0,0.8269,0.3057,0,60N_030E
33.39632,55.374,33.46032,55.414,1861.4,0.9141,85.88,15.0168,17,3.659,2.9035,4.5258,1,60N_030E
35.74322,58.25721,35.80722,58.29721,1724.42,0.9588,74.04,7.3072,15,2.1228,0.9924,4.5984,1,60N_030E
30.74102,51.05232,30.80502,51.09232,2057.39,0.9384,76.61,15.7057,18,1.8377,4.0219,3.1221,1,60N_030E
36.15538,52.9162,36.21938,52.9562,1974.29,0.3037,73.01,0.0734,0,0.0,0.0213,0.0,0,60N_030E
35.73126,53.85943,35.79526,53.89943,1931.4,0.6736,80.32,1.5444,7,0.398,0.521,0.0118,0,60N_030E
37.2901,58.93802,37.3541,58.97802,1691.38,0.6016,74.55,4.0152,6,2.3003,1.2105,1.1159,1,60N_030E
38.3671,59.08745,38.4311,59.12745,1684.1,0.7453,77.2,0.417,1,0.3104,0.282,0.0166,0,60N_030E
33.24748,52.43297,33.31148,52.47297,1996.05,0.3626,73.37,0.7012,2,0.0071,0.2558,0.0924,0,60N_030E
34.57436,58.11434,34.63836,58.15434,1731.31,0.8234,68.89,13.9472,14,0.2843,2.9754,0.256,0,60N_030E
36.39063,56.17533,36.45463,56.21533,1823.8,0.4511,78.75,6.8581,13,0.3954,1.3792,0.1444,0,60N_030E
35.60552,54.28614,35.66952,54.32614,1911.82,0.3253,78.83,0.4855,1,0.0189,0.1302,0.0166,0,60N_030E
36.93012,57.72492,36.99412,57.76492,1750.06,0.5799,79.09,0.0924,0,0.0213,0.0355,1.0063,1,60N_030E
31.15886,53.66523,31.22286,53.70523,1940.28,0.4212,78.61,4.2919,8,1.525,0.8406,8.9008,1,60N_030E
39.4201,57.96353,39.4841,58.00353,1738.58,0.6281,81.2,0.6492,2,0.0,0.244,0.0071,0,60N_030E
33.72912,54.92246,33.79312,54.96246,1882.41,0.586,76.39,1.1607,2,0.064,0.4003,0.0,0,60N_030E
38.26306,59.38195,38.32706,59.42195,1669.71,0.947,84.47,3.2665,6,0.045,1.1015,1.4749,1,60N_030E
35.99697,57.86315,36.06097,57.90315,1743.41,0.8996,83.82,11.6911,13,3.664,2.1788,4.0834,1,60N_030E
34.19181,57.71115,34.25581,57.75115,1750.72,0.6362,79.6,1.8269,4,0.0142,0.6564,0.0,0,60N_030E
37.92364,58.82986,37.98764,58.86986,1696.65,0.4555,70.06,0.0545,0,0.0,0.0308,0.0,0,60N_030E
32.04324,55.21601,32.10724,55.25601,1868.76,0.8508,83.34,5.4488,10,3.3975,2.253,4.643,1,60N_030E
30.90414,55.76027,30.96814,55.80027,1843.32,0.8744,80.87,11.818,11,0.0,4.5765,5.2286,1,60N_030E
34.70745,55.85104,34.77145,55.89104,1839.06,0.3878,72.92,0.0829,0,0.0,0.0189,0.0142,0,60N_030E
35.27352,53.47892,35.33752,53.51892,1948.77,0.8483,80.87,14.8917,17,1.9138,2.6739,0.6136,0,60N_030E
31.54181,53.2709,31.60581,53.3109,1958.23,0.3848,77.26,0.2583,1,0.2583,0.2583,0.6965,0,60N_030E
39.40743,58.21876,39.47143,58.25876,1726.26,0.8989,83.7,5.5574,8,0.2109,3.6431,0.3815,0,60N_030E
32.71499,54.52573,32.77899,54.56573,1900.78,0.3341,71.08,0.533,2,0.1256,0.1327,0.0,0,60N_030E
37.54263,54.08813,37.60663,54.12813,1920.92,0.3396,71.47,0.1753,0,0.0355,0.0427,0.0355,0,60N_030E
32.90992,56.0676,32.97392,56.1076,1828.88,0.6399,78.04,2.6629,10,0.3672,0.4597,0.6678,0,60N_030E
36.24512,53.65789,36.30912,53.69789,1940.61,0.4428,78.37,0.7532,2,0.1066,0.5021,0.3813,0,60N_030E
32.65873,53.68824,32.72273,53.72824,1939.23,0.6049,79.27,4.9127,11,1.1795,1.1276,2.2451,1,60N_030E
32.55902,54.94842,32.62302,54.98842,1881.21,0.5434,75.4,0.1989,0,0.0,0.0616,0.0,0,60N_030E
37.3723,58.06137,37.4363,58.10137,1733.86,0.4776,78.15,1.2336,3,0.2131,0.3149,1.8871,1,60N_030E
33.9572,59.23002,34.0212,59.27002,1677.14,0.7638,80.68,7.1179,10,0.2772,1.8925,0.0829,0,60N_030E
33.5085,58.18046,33.5725,58.22046,1728.12,0.608,79.14,3.9941,12,0.4051,0.8769,0.4122,0,60N_030E
37.96287,57.39855,38.02687,57.43855,1765.7,0.3091,77.77,0.4286,1,0.2131,0.1871,0.0213,0,60N_030E
38.87742,55.9737,38.94142,56.0137,1833.3,0.671,73.17,8.376,8,0.0213,4.7559,0.6348,0,60N_030E
35.28339,50.77226,35.34739,50.81226,2069.68,0.3712,76.72,0.27,0,0.1279,0.0853,0.0024,0,60N_030E
32.65329,56.23848,32.71729,56.27848,1820.83,0.8172,81.12,7.5534,13,0.7175,0.9332,0.1137,0,60N_030E
33.70094,56.90939,33.76494,56.94939,1789.04,0.798,82.84,4.8584,10,0.9644,1.2929,1.5875,1,60N_030E
37.19343,55.4862,37.25743,55.5262,1856.16,0.3285,75.38,0.6278,3,0.0,0.18,0.2914,0,60N_030E
31.46418,54.46691,31.52818,54.50691,1903.49,0.664,82.5,0.0663,0,0.0426,0.0426,0.0,0,60N_030E
31.05665,57.54897,31.12065,57.58897,1758.5,0.8645,80.02,4.1035,12,0.4668,1.1087,0.6801,0,60N_030E
33.70304,52.10566,33.76704,52.14566,2010.7,0.4331,78.73,2.7219,9,0.263,0.5141,0.9593,0,60N_030E
35.09194,58.94397,35.15594,58.98397,1691.1,0.9041,72.99,14.9702,14,5.5033,3.3765,3.8979,1,60N_030E
35.558,52.22232,35.622,52.26232,2005.48,0.3251,75.19,0.308,0,0.0024,0.0758,0.0308,0,60N_030E
32.71153,59.40898,32.77553,59.44898,1668.39,0.6702,70.34,8.9238,15,0.9049,2.4754,1.1183,1,60N_030E
38.62347,59.54363,38.68747,59.58363,1661.79,0.8449,83.63,8.5234,12,3.9737,1.9986,3.5564,1,60N_030E
36.25935,55.47498,36.32335,55.51498,1856.68,0.6241,79.88,0.4382,0,0.0379,0.0758,0.4784,0,60N_030E
35.27694,55.37415,35.34094,55.41415,1861.39,0.6625,81.52,2.5006,2,0.0237,2.1927,1.3428,1,60N_030E
32.27412,51.68337,32.33812,51.72337,2029.5,0.821,81.71,11.7655,16,3.1268,1.6511,5.8839,1,60N_030E
30.72496,56.79504,30.78896,56.83504,1794.47,0.9997,84.7,1.6842,4,0.2628,0.4501,0.0663,0,60N_030E
31.79019,58.4635,31.85419,58.5035,1714.44,0.9406,82.73,4.6051,10,0.0355,1.23,0.2843,0,60N_030E
